GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Avro,org.apache.avro.util,WeakIdentityHashMap.new Map.Entry() {...},22,0,0,0,4,0,4,0,4,0
Apache Avro,org.apache.avro.util,ByteBufferInputStream,112,0,14,0,29,0,12,0,5,0
Apache Avro,org.apache.avro.util,Utf8,205,0,16,0,49,0,25,0,17,0
Apache Avro,org.apache.avro.util,WeakIdentityHashMap.IdentityWeakReference,33,0,4,0,11,0,5,0,3,0
Apache Avro,org.apache.avro.util,WeakIdentityHashMap,194,0,6,0,48,0,19,0,16,0
Apache Avro,org.apache.avro.util,ByteBufferOutputStream,193,0,12,0,45,0,15,0,9,0
Apache Avro,org.apache.avro.generic,GenericData.Record,122,0,14,0,23,0,17,0,10,0
Apache Avro,org.apache.avro.generic,GenericData.Array.new Iterator() {...},35,0,2,0,5,0,5,0,4,0
Apache Avro,org.apache.avro.generic,GenericData.Fixed,78,0,6,0,18,0,14,0,11,0
Apache Avro,org.apache.avro.generic,GenericData,1188,0,219,0,253,0,157,0,26,0
Apache Avro,org.apache.avro.generic,GenericDatumReader,712,0,86,0,155,0,88,0,32,0
Apache Avro,org.apache.avro.generic,GenericDatumWriter,361,0,23,0,81,0,40,0,22,0
Apache Avro,org.apache.avro.generic,GenericDatumReader.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
Apache Avro,org.apache.avro.generic,GenericData.EnumSymbol,37,0,6,0,10,0,8,0,5,0
Apache Avro,org.apache.avro.generic,GenericData.Array,330,0,32,0,63,0,32,0,16,0
Apache Avro,org.apache.avro,Schema.Parser,76,42,4,0,12,12,7,4,5,4
Apache Avro,org.apache.avro,SchemaParseException,0,8,0,0,0,2,0,2,0,2
Apache Avro,org.apache.avro,Schema.Name,127,23,25,3,19,7,18,2,5,1
Apache Avro,org.apache.avro,AvroTypeException,9,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,Schema.UnionSchema,157,23,20,1,26,5,16,1,5,1
Apache Avro,org.apache.avro,Schema.Field.Order,0,44,0,0,0,3,0,2,0,2
Apache Avro,org.apache.avro,Schema.FixedSchema,103,0,16,0,22,0,13,0,5,0
Apache Avro,org.apache.avro,Protocol.Message,120,0,8,0,33,0,16,0,12,0
Apache Avro,org.apache.avro,Schema.NamedSchema,157,15,15,1,31,5,19,1,11,1
